,layer_0,layer_1,layer_2
head_0,0.2371294,0.1851278,0.15305944
head_1,0.2215992,0.20307669,0.13365367
head_2,0.19623666,0.1940265,0.13948795
head_3,0.2014584,0.18385026,0.17132497
head_4,0.2292755,0.17551905,0.11394994
head_5,0.23304641,0.21451816,0.054224655
head_6,0.19936316,0.1763722,0.19275
head_7,0.19934973,0.1793327,0.1607484
head_8,0.24123089,0.19444445,0.17865549
head_9,0.23368052,0.18525241,0.15594319
head_10,0.1957638,0.19940816,0.15467076
head_11,0.16202304,0.17770843,0.17583908
head_12,0.19719595,0.16237192,0.17592442
head_13,0.21752608,0.17647924,0.14815485
head_14,0.10364641,0.20959769,0.17094979
head_15,0.13128905,0.18872368,0.11954765
