,layer_0,layer_1,layer_2
head_0,0.13245054,0.117988184,0.13420245
head_1,0.14762592,0.06600886,0.13793421
head_2,0.121071674,0.09509608,0.15574847
head_3,0.14294793,0.058307853,0.13255034
head_4,0.14720762,0.12949358,0.14360477
head_5,0.15745448,0.16955101,0.14696851
head_6,0.15732458,0.15711153,0.1450749
head_7,0.12125115,0.08014195,0.13281897
head_8,0.15628526,0.05604428,0.13476391
head_9,0.11912353,0.06644006,0.14910376
head_10,0.101079695,0.16441987,0.13165638
head_11,0.15197603,0.09843971,0.16018173
head_12,0.15032515,0.09040925,0.16080758
head_13,0.13685231,0.14390051,0.17055804
head_14,0.15054055,0.14686099,0.15484115
head_15,0.1463555,0.15867211,0.13097216
