,layer_0,layer_1,layer_2
head_0,0.11583761,0.13083541,0.124465875
head_1,0.1482696,0.10738097,0.095314905
head_2,0.100173175,0.11685256,0.10402363
head_3,0.14966084,0.07730718,0.1384411
head_4,0.117195554,0.102373935,0.07897274
head_5,0.1609719,0.14437416,0.11469566
head_6,0.13943861,0.05211744,0.14767812
head_7,0.15403107,0.060832866,0.14315167
head_8,0.16041806,0.04557539,0.16449492
head_9,0.12227361,0.050845254,0.16634846
head_10,0.13767233,0.04712064,0.09083044
head_11,0.15394694,0.07592747,0.09103182
head_12,0.10738849,0.06459302,0.11881871
head_13,0.14340846,0.11774121,0.112922914
head_14,0.14999743,0.10575504,0.167804
head_15,0.15927431,0.09172614,0.15963966
