,layer_0,layer_1,layer_2
head_0,0.12845622,0.1594784,0.07335818
head_1,0.15326744,0.13643613,0.10031377
head_2,0.09639317,0.12062737,0.09561646
head_3,0.14963156,0.13550547,0.16408618
head_4,0.13875647,0.14154507,0.098491326
head_5,0.14483663,0.15703984,0.12308504
head_6,0.15947607,0.050394263,0.14517498
head_7,0.15840392,0.06310739,0.15412992
head_8,0.16659373,0.046100706,0.15097894
head_9,0.13555299,0.048813414,0.17757264
head_10,0.14528498,0.06433565,0.10087593
head_11,0.1567693,0.12111391,0.08856964
head_12,0.11045903,0.117198534,0.10826979
head_13,0.15270877,0.14422551,0.09429377
head_14,0.14996654,0.15045576,0.172399
head_15,0.15302776,0.1381172,0.16349393
