,layer_0,layer_1,layer_2
head_0,0.15128131,0.20311096,0.13376318
head_1,0.1472697,0.14408419,0.11933078
head_2,0.11687726,0.15934388,0.16575514
head_3,0.13607715,0.11839745,0.15252714
head_4,0.14069404,0.07135117,0.110104986
head_5,0.17952879,0.05841127,0.12170507
head_6,0.16261278,0.09579165,0.13923742
head_7,0.15430272,0.17081302,0.14300206
head_8,0.17618807,0.056304686,0.15229584
head_9,0.12344159,0.08574381,0.16201307
head_10,0.15476486,0.07139014,0.14134175
head_11,0.14763847,0.120541856,0.13342099
head_12,0.15365158,0.11470189,0.14835837
head_13,0.13135932,0.17462902,0.15255314
head_14,0.12384748,0.17649874,0.15158291
head_15,0.15117712,0.13693328,0.14580005
