,layer_0,layer_1,layer_2,layer_3
head_0,0.13507284,0.091458395,0.10297405,0.13007025
head_1,0.14219093,0.05531641,0.11680085,0.12723416
head_2,0.1435166,0.077986315,0.12476252,0.1179473
head_3,0.14817266,0.22770251,0.12821394,0.1114196
head_4,0.10938614,0.1712837,0.12176265,0.12096009
head_5,0.14592911,0.1858774,0.10934067,0.13506055
head_6,0.1564042,0.1994194,0.10948998,0.110451594
head_7,0.12696207,0.15076858,0.10532471,0.12764263
head_8,0.12782729,0.13522065,0.117102385,0.12241913
head_9,0.13288721,0.13900252,0.11902923,0.12648833
head_10,0.10683316,0.1096594,0.14342119,0.1211861
head_11,0.12557349,0.13195272,0.10546355,0.16042446
head_12,0.19446388,0.1934097,0.123996414,0.13210173
head_13,0.14997634,0.10924205,0.1358579,0.13176067
head_14,0.15891172,0.11563911,0.07697936,0.11787694
head_15,0.12048979,0.1851681,0.073614776,0.11085087
head_16,0.13766243,0.1209417,0.115373775,0.12636602
head_17,0.18444759,0.12713154,0.116243765,0.10629269
head_18,0.17271043,0.115809985,0.123462796,0.09443693
head_19,0.10666681,0.13944815,0.13013287,0.103331566
head_20,0.11489583,0.09291001,0.09639488,0.13066895
head_21,0.11683022,0.186049,0.11518826,0.12775165
head_22,0.101536974,0.058559347,0.07082637,0.13785155
head_23,0.109668046,0.10901,0.09663172,0.09962111
head_24,0.18456149,0.08456179,0.06478381,0.11389692
head_25,0.13493599,0.13686973,0.10173697,0.08265652
head_26,0.16955213,0.10910623,0.08326356,0.16508015
head_27,0.15291698,0.12019965,0.110468455,0.11529228
head_28,0.11254526,0.14395952,0.12012825,0.14183846
head_29,0.107911564,0.13339926,0.14658329,0.12907735
head_30,0.115855046,0.17442982,0.12765412,0.12164898
head_31,0.13250768,0.08006299,0.12050769,0.1319471
