,layer_0,layer_1,layer_2,layer_3
head_0,0.14650124,0.060632404,0.12289421,0.13108946
head_1,0.1404157,0.087298356,0.18242675,0.11061723
head_2,0.12883893,0.11240114,0.17257872,0.09981836
head_3,0.14473918,0.10731499,0.14266135,0.117206864
head_4,0.14751187,0.14192468,0.12845886,0.124300696
head_5,0.13249631,0.102015756,0.13250868,0.0917313
head_6,0.13521871,0.11122177,0.17878808,0.14801602
head_7,0.13442905,0.17446536,0.12716912,0.1308202
head_8,0.1414643,0.11946618,0.13936083,0.13203928
head_9,0.1408195,0.15593977,0.18144388,0.11824345
head_10,0.13116813,0.10276999,0.13452998,0.15019451
head_11,0.13719733,0.09737386,0.20062305,0.14494324
head_12,0.14012156,0.15747751,0.1347746,0.09318471
head_13,0.14961955,0.14552495,0.12720428,0.12747863
head_14,0.12959206,0.11100422,0.12209794,0.2444288
head_15,0.14153352,0.17611988,0.1014225,0.18160482
head_16,0.14662108,0.16371994,0.13816017,0.15727243
head_17,0.14253372,0.13551484,0.1600599,0.21002206
head_18,0.14121361,0.1344411,0.10129591,0.2736392
head_19,0.1212185,0.0766859,0.13291422,0.15983358
head_20,0.13158429,0.13933973,0.10112214,0.11204034
head_21,0.13194454,0.13793126,0.14998905,0.12435708
head_22,0.13803303,0.12687242,0.14743547,0.13589412
head_23,0.14125235,0.13509582,0.14256613,0.12205793
head_24,0.13980103,0.08297075,0.123616,0.17109825
head_25,0.14566,0.14099206,0.14308162,0.14589643
head_26,0.14233893,0.074241824,0.14015268,0.13822185
head_27,0.15196823,0.11607547,0.16163783,0.0967435
head_28,0.14002214,0.18585028,0.11308202,0.16231245
head_29,0.11414425,0.1352928,0.14567143,0.16450006
head_30,0.14548287,0.11478259,0.124014616,0.14712612
head_31,0.14357942,0.088790715,0.1163526,0.1504411
